epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.4878,2.13868,3.73623,1.79643,0.46097,0.27807,0.28185,0.15323,2.06565,2.47062,1.98107,0.000253169,0.000253169,0.000253169
2,87.3791,2.09716,2.30797,1.75464,0.52973,0.2539,0.24547,0.11817,2.41962,2.33499,2.36543,0.000503197,0.000503197,0.000503197
3,117.108,2.1647,2.32597,1.79742,0.55317,0.19849,0.18857,0.08195,2.58498,2.47267,2.24642,0.000746881,0.000746881,0.000746881
4,146.416,2.18135,2.23074,1.74881,0.51845,0.21046,0.19139,0.08481,2.30778,2.47143,2.15483,0.000740451,0.000740451,0.000740451
5,175.814,2.14788,2.14521,1.7739,0.85995,0.29357,0.30433,0.15046,2.32474,1.84337,2.00975,0.000730935,0.000730935,0.000730935
6,205.018,2.13135,2.09747,1.77845,0.54821,0.294,0.2706,0.13277,2.2253,2.51497,2.07701,0.000721418,0.000721418,0.000721418
7,234.496,2.05419,2.1328,1.77849,0.64746,0.29474,0.33608,0.16839,2.25229,1.96558,1.95994,0.000711902,0.000711902,0.000711902
8,264.331,2.05201,1.98853,1.71506,0.63961,0.28514,0.31256,0.15935,2.19043,1.79122,1.93963,0.000702385,0.000702385,0.000702385
9,293.868,2.11722,1.89354,1.67502,0.46356,0.35561,0.32494,0.18286,2.07783,1.81201,1.87936,0.000692869,0.000692869,0.000692869
10,323.167,2.04206,1.88554,1.67987,0.50529,0.37636,0.35788,0.19536,1.96719,1.57295,1.82721,0.000683353,0.000683353,0.000683353
11,352.673,2.00781,1.87334,1.67372,0.75315,0.32789,0.36845,0.2096,1.93558,1.58087,1.80306,0.000673836,0.000673836,0.000673836
12,382.986,2.00215,1.77289,1.62754,0.80594,0.2969,0.34422,0.19398,2.0076,1.59768,1.83572,0.00066432,0.00066432,0.00066432
13,412.277,1.92306,1.73607,1.6073,0.86653,0.33746,0.39091,0.23578,1.91701,1.28323,1.72165,0.000654804,0.000654804,0.000654804
14,441.588,1.998,1.71197,1.61289,0.8047,0.31716,0.37786,0.224,1.88531,1.39108,1.71536,0.000645287,0.000645287,0.000645287
15,471.102,1.93556,1.69467,1.60042,0.68524,0.38756,0.42153,0.21627,2.00482,1.48823,1.82923,0.000635771,0.000635771,0.000635771
16,501.134,1.91264,1.64294,1.5805,0.56041,0.41117,0.39872,0.23629,1.88184,1.26561,1.71463,0.000626254,0.000626254,0.000626254
17,530.574,1.88906,1.59623,1.59567,0.46077,0.45459,0.44175,0.25431,1.89062,1.27038,1.69742,0.000616738,0.000616738,0.000616738
18,559.751,1.78938,1.59854,1.57893,0.61608,0.51414,0.50392,0.24908,1.87101,1.28241,1.73516,0.000607222,0.000607222,0.000607222
19,589.681,1.92963,1.55754,1.51963,0.54758,0.54086,0.51802,0.27172,1.88565,1.21878,1.64496,0.000597705,0.000597705,0.000597705
20,619.266,1.869,1.54433,1.54938,0.64912,0.3838,0.41444,0.24425,1.85223,1.24466,1.6911,0.000588189,0.000588189,0.000588189
21,649.091,1.87083,1.55301,1.5688,0.47598,0.46502,0.41609,0.24838,1.81214,1.30624,1.65183,0.000578672,0.000578672,0.000578672
22,678.158,1.85702,1.51661,1.53439,0.70544,0.4916,0.52288,0.28465,1.79542,1.18031,1.63698,0.000569156,0.000569156,0.000569156
23,708.061,1.83195,1.49602,1.51912,0.60819,0.52494,0.48527,0.27219,1.75138,1.17362,1.58365,0.00055964,0.00055964,0.00055964
24,737.825,1.85181,1.45133,1.51748,0.57307,0.46314,0.46504,0.27361,1.74885,1.13707,1.60265,0.000550123,0.000550123,0.000550123
25,768.254,1.78972,1.45294,1.50559,0.53544,0.50123,0.44622,0.26946,1.79223,1.19739,1.64323,0.000540607,0.000540607,0.000540607
26,797.903,1.85918,1.42888,1.48717,0.81524,0.4874,0.51472,0.2842,1.80513,1.14978,1.63004,0.000531091,0.000531091,0.000531091
27,827.262,1.81495,1.41685,1.50688,0.83836,0.49741,0.53727,0.30704,1.78192,1.06112,1.60294,0.000521574,0.000521574,0.000521574
28,856.863,1.76225,1.39199,1.48007,0.61238,0.44721,0.5302,0.31835,1.80982,1.09486,1.66314,0.000512058,0.000512058,0.000512058
29,887.299,1.79807,1.38332,1.49838,0.56403,0.50852,0.52768,0.29659,1.83693,1.08959,1.6337,0.000502541,0.000502541,0.000502541
30,916.901,1.77803,1.33634,1.48438,0.65131,0.58145,0.58638,0.31292,1.73789,1.04525,1.59543,0.000493025,0.000493025,0.000493025
31,946.345,1.75261,1.33881,1.47109,0.69719,0.51269,0.52831,0.29148,1.81786,1.05953,1.65363,0.000483509,0.000483509,0.000483509
32,975.889,1.79827,1.33511,1.46705,0.71397,0.51664,0.60495,0.31317,1.76161,1.07953,1.62173,0.000473992,0.000473992,0.000473992
33,1005.57,1.70663,1.311,1.48308,0.89855,0.48037,0.54365,0.29589,1.7938,1.08654,1.64564,0.000464476,0.000464476,0.000464476
34,1035.22,1.77081,1.31024,1.43463,0.6251,0.55226,0.5813,0.3136,1.74321,1.06424,1.59798,0.00045496,0.00045496,0.00045496
35,1064.56,1.71788,1.32869,1.4712,0.71359,0.45892,0.5394,0.30901,1.78677,1.04851,1.59943,0.000445443,0.000445443,0.000445443
36,1094.2,1.74337,1.25665,1.44478,0.65604,0.53165,0.58809,0.34095,1.77514,1.03176,1.62089,0.000435927,0.000435927,0.000435927
37,1123.99,1.66235,1.20907,1.41676,0.72436,0.57147,0.57261,0.31465,1.77042,1.0316,1.59159,0.000426411,0.000426411,0.000426411
38,1154.27,1.77893,1.29158,1.43065,0.72429,0.60625,0.58842,0.32549,1.73958,1.00784,1.57758,0.000416894,0.000416894,0.000416894
39,1183.58,1.68797,1.19571,1.3974,0.60743,0.60831,0.69806,0.40433,1.72515,1.00154,1.57104,0.000407378,0.000407378,0.000407378
